iteration,train_loss,val_loss,lr,elapsed_s
33100,0.003841,,3.000000e-04,4197.3
33200,0.003962,,3.000000e-04,4207.4
33300,0.004495,,3.000000e-04,4217.6
33400,0.003711,,3.000000e-04,4228.0
33500,0.003129,,3.000000e-04,4238.3
33600,0.003722,,3.000000e-04,4248.6
33700,0.003574,,3.000000e-04,4258.7
33800,0.004236,,3.000000e-04,4269.0
33900,0.004089,,3.000000e-04,4279.2
34000,0.006192,,3.000000e-04,4289.3
34000,,0.004609,3.000000e-04,4315.1
34100,0.003546,,3.000000e-04,4325.5
34200,0.005269,,3.000000e-04,4335.5
34300,0.004153,,3.000000e-04,4345.5
34400,0.003917,,3.000000e-04,4355.5
34500,0.004436,,3.000000e-04,4365.5
34600,0.004482,,3.000000e-04,4375.6
34700,0.004703,,3.000000e-04,4385.7
34800,0.002735,,3.000000e-04,4395.9
34900,0.008652,,3.000000e-04,4405.7
35000,0.004629,,3.000000e-04,4415.7
35000,,0.004611,3.000000e-04,4441.4
35100,0.004648,,3.000000e-04,4451.4
35200,0.002826,,3.000000e-04,4461.6
35300,0.004391,,3.000000e-04,4471.6
35400,0.006197,,3.000000e-04,4481.5
35500,0.005455,,3.000000e-04,4491.4
35600,0.005092,,3.000000e-04,4501.6
35700,0.003127,,3.000000e-04,4511.5
35800,0.003907,,3.000000e-04,4521.4
35900,0.001724,,3.000000e-04,4531.3
36000,0.004915,,3.000000e-04,4541.5
36000,,0.004618,3.000000e-04,4567.0
36100,0.003022,,3.000000e-04,4576.9
36200,0.009879,,3.000000e-04,4586.9
36300,0.002891,,3.000000e-04,4596.9
36400,0.004358,,3.000000e-04,4607.0
36500,0.002832,,3.000000e-04,4617.0
36600,0.003141,,3.000000e-04,4627.0
36700,0.002236,,3.000000e-04,4637.1
36800,0.003618,,3.000000e-04,4647.1
36900,0.004326,,3.000000e-04,4657.0
37000,0.007976,,3.000000e-04,4667.0
37000,,0.004612,3.000000e-04,4692.5
37100,0.002707,,3.000000e-04,4702.5
37200,0.007176,,3.000000e-04,4712.4
37300,0.005848,,3.000000e-04,4722.4
37400,0.004135,,3.000000e-04,4732.5
37500,0.004863,,3.000000e-04,4742.4
37600,0.004234,,3.000000e-04,4752.5
37700,0.003452,,3.000000e-04,4762.4
37800,0.004380,,3.000000e-04,4772.4
37900,0.002712,,3.000000e-04,4782.3
38000,0.005846,,3.000000e-04,4792.4
38000,,0.004618,3.000000e-04,4817.9
38100,0.005350,,3.000000e-04,4828.0
38200,0.003613,,3.000000e-04,4837.9
38300,0.004197,,3.000000e-04,4847.9
38400,0.003221,,3.000000e-04,4857.8
38500,0.007823,,3.000000e-04,4867.7
38600,0.005645,,3.000000e-04,4877.8
38700,0.003797,,3.000000e-04,4887.8
38800,0.006648,,3.000000e-04,4897.6
38900,0.005112,,3.000000e-04,4907.5
39000,0.003637,,3.000000e-04,4917.7
39000,,0.004608,3.000000e-04,4943.1
39100,0.002515,,3.000000e-04,4953.5
39200,0.002099,,3.000000e-04,4963.5
39300,0.004236,,3.000000e-04,4973.6
39400,0.006719,,3.000000e-04,4983.6
39500,0.003200,,3.000000e-04,4993.6
39600,0.007341,,3.000000e-04,5003.6
39700,0.004584,,3.000000e-04,5013.6
39800,0.003341,,3.000000e-04,5023.7
39900,0.006836,,3.000000e-04,5033.8
40000,0.003629,,3.000000e-04,5043.7
40000,,0.004607,3.000000e-04,5069.2
40100,0.003441,,3.000000e-04,5080.2
40200,0.006529,,3.000000e-04,5090.2
40300,0.003711,,3.000000e-04,5100.3
40400,0.005981,,3.000000e-04,5110.3
40500,0.003383,,3.000000e-04,5120.4
40600,0.001808,,3.000000e-04,5130.3
40700,0.008647,,3.000000e-04,5140.3
40800,0.003334,,3.000000e-04,5150.3
40900,0.005310,,3.000000e-04,5160.3
41000,0.005237,,3.000000e-04,5170.1
41000,,0.004606,3.000000e-04,5195.6
41100,0.003608,,3.000000e-04,5206.0
41200,0.008201,,3.000000e-04,5215.8
41300,0.005002,,3.000000e-04,5225.8
41400,0.005139,,3.000000e-04,5235.8
41500,0.005829,,3.000000e-04,5245.9
41600,0.003241,,3.000000e-04,5255.9
41700,0.003686,,3.000000e-04,5266.0
41800,0.001687,,3.000000e-04,5276.0
41900,0.003720,,3.000000e-04,5286.0
42000,0.004681,,3.000000e-04,5295.9
42000,,0.004609,3.000000e-04,5321.4
42100,0.004355,,3.000000e-04,5331.6
42200,0.003868,,3.000000e-04,5341.4
42300,0.003321,,3.000000e-04,5351.5
42400,0.003204,,3.000000e-04,5361.6
42500,0.002334,,3.000000e-04,5371.6
42600,0.004739,,3.000000e-04,5381.6
42700,0.007510,,3.000000e-04,5391.5
42800,0.004323,,3.000000e-04,5401.5
42900,0.003616,,3.000000e-04,5411.6
43000,0.002706,,3.000000e-04,5421.7
43000,,0.004612,3.000000e-04,5447.1
43100,0.004296,,3.000000e-04,5457.1
43200,0.002835,,3.000000e-04,5466.7
43300,0.002979,,3.000000e-04,5476.7
43400,0.003376,,3.000000e-04,5486.6
43500,0.003498,,3.000000e-04,5496.6
43600,0.003677,,3.000000e-04,5507.0
43700,0.003709,,3.000000e-04,5516.8
43800,0.002971,,3.000000e-04,5526.9
43900,0.003887,,3.000000e-04,5536.9
44000,0.003765,,3.000000e-04,5547.0
44000,,0.004611,3.000000e-04,5572.5
44100,0.001807,,3.000000e-04,5582.5
44200,0.003002,,3.000000e-04,5592.4
44300,0.002805,,3.000000e-04,5602.3
44400,0.004725,,3.000000e-04,5612.2
44500,0.003976,,3.000000e-04,5622.0
44600,0.006215,,3.000000e-04,5632.1
44700,0.002138,,3.000000e-04,5642.1
44800,0.002857,,3.000000e-04,5652.2
44900,0.002782,,3.000000e-04,5662.3
45000,0.003779,,3.000000e-04,5672.1
45000,,0.004605,3.000000e-04,5697.6
45100,0.008060,,3.000000e-04,5708.0
45200,0.006192,,3.000000e-04,5718.0
