iteration,train_loss,val_loss,lr,elapsed_s
54700,0.004030,,3.000000e-04,6745.7
54800,0.005114,,3.000000e-04,6755.5
54900,0.003658,,3.000000e-04,6765.4
55000,0.003567,,3.000000e-04,6775.0
55000,,0.005176,3.000000e-04,6800.5
55100,0.004219,,3.000000e-04,6810.7
55200,0.004254,,3.000000e-04,6820.4
55300,0.003054,,3.000000e-04,6830.3
55400,0.004806,,3.000000e-04,6839.9
55500,0.005512,,3.000000e-04,6849.5
55600,0.003908,,3.000000e-04,6859.3
55700,0.003651,,3.000000e-04,6869.1
55800,0.004554,,3.000000e-04,6878.9
55900,0.004203,,3.000000e-04,6888.7
56000,0.005123,,3.000000e-04,6898.5
56000,,0.005183,3.000000e-04,6924.0
56100,0.003213,,3.000000e-04,6933.8
56200,0.004468,,3.000000e-04,6943.6
56300,0.004563,,3.000000e-04,6953.4
56400,0.010081,,3.000000e-04,6963.1
56500,0.004451,,3.000000e-04,6972.9
56600,0.003446,,3.000000e-04,6982.6
56700,0.002245,,3.000000e-04,6992.3
56800,0.003927,,3.000000e-04,7001.9
56900,0.003234,,3.000000e-04,7011.8
57000,0.006295,,3.000000e-04,7021.9
57000,,0.005178,3.000000e-04,7047.4
57100,0.004527,,3.000000e-04,7057.3
57200,0.004989,,3.000000e-04,7067.0
57300,0.004230,,3.000000e-04,7076.7
57400,0.003137,,3.000000e-04,7086.6
57500,0.005322,,3.000000e-04,7096.4
57600,0.004085,,3.000000e-04,7106.2
57700,0.004250,,3.000000e-04,7115.8
57800,0.004416,,3.000000e-04,7125.6
57900,0.006418,,3.000000e-04,7135.3
58000,0.005477,,3.000000e-04,7145.2
